5298	8867	kegg
221	8639	kegg
874	80142	kegg
9063	7341	hprd
2934	71	hprd
5147	6009	hprd
1234	11230	hprd
10758	7189	hprd
7450	1277	hprd
6716	54579	kegg
51684	55663	hprd
5469	3164	hprd
10320	22806	hprd
6424	80326	kegg
23281	79027	hprd
3984	1072	hprd,kegg
5175	1445	hprd
5594	3932	hprd
3680	284217	kegg
80233	2187	hprd
2192	2006	hprd
652788	5879	kegg
5586	5783	hprd
1557	30814	kegg
1003	3791	hprd
81704	57381	hprd
92610	27111	hprd
10419	4129	kegg
9350	7471	kegg
5271	2147	hprd
5295	5331	kegg
638	597	hprd
5504	84687	hprd
3688	83660	kegg
3655	7058	kegg
10919	26148	hprd
5590	3265	hprd
221357	1555	kegg
3696	5649	kegg
2247	6382	hprd
128	501	kegg
7082	1499	kegg
3030	80339	kegg
11030	129807	hprd
1399	3680	kegg
4214	3551	kegg
3675	2316	kegg
8394	5286	kegg
5571	6513	kegg
5618	3718	kegg
1890	100	kegg
133121	5321	kegg
8654	836	hprd
57448	836	hprd
801	23236	kegg
1486	3101	kegg
3455	7297	hprd,kegg
163688	5534	kegg
387082	6772	hprd
4690	6237	hprd
3294	10720	kegg
2139	63948	hprd
1258	9635	kegg
8775	6804	hprd
4893	8877	kegg
8655	2752	hprd
7520	54386	hprd
5764	5515	hprd
1292	6383	kegg
8654	2766	kegg
3676	58494	kegg
8976	6453	hprd
10554	8525	kegg
2534	1945	kegg
2737	7483	kegg
658	57111	hprd
3732	821	hprd
54665	5566	hprd
24137	8458	hprd
9406	6625	hprd
23761	30814	kegg
6310	7791	hprd
3032	10998	kegg
7106	4179	hprd
8514	3737	hprd
1956	7846	hprd
5260	5500	kegg
7042	2022	hprd
1562	5322	kegg
8649	5595	hprd,kegg
1020	5604	hprd
54658	1588	kegg
3908	3921	hprd
27092	10125	kegg
223	1962	kegg
3675	88	kegg
146	2776	kegg
8828	6405	hprd
6263	8912	kegg
7083	1026	hprd
4089	2737	hprd
7417	54205	hprd
3691	3912	kegg
5549	1280	hprd
1441	3718	kegg
10555	1040	kegg
7052	6678	hprd
1288	3674	kegg
7184	367	kegg
9794	11317	kegg
6655	2261	kegg
3696	1280	kegg
22899	2043	hprd
8048	4654	hprd
4036	3549	kegg
22978	5152	kegg
5998	2099	hprd
8161	79873	hprd
57405	10403	hprd
9615	3251	kegg
5903	5901	hprd
7046	1191	hprd
51060	2678	kegg
249	10973	kegg
5645	6590	hprd
1457	7421	hprd
2873	3705	hprd
5519	8313	kegg
3688	1280	kegg
5743	81579	kegg
84265	956	kegg
7314	4591	hprd
56623	200576	kegg
5582	22800	kegg
8907	127557	hprd
2316	6462	hprd
2596	801	hprd
7421	6772	hprd
84651	2038	hprd
6195	1051	hprd
7917	9869	hprd
4776	7534	hprd
5438	954	kegg
8263	3064	hprd
137872	7367	kegg
143425	7442	hprd
5333	5899	hprd
3934	4318	hprd
956	5427	kegg
25	58	hprd
57486	4922	hprd
3630	776	kegg
1644	51451	kegg
10105	7416	hprd
1910	2767	hprd,kegg
5579	81579	kegg
9564	1464	hprd
3688	1291	kegg
222389	9491	hprd
3257	89781	hprd
9970	5469	hprd
841	10134	hprd
3358	2769	kegg
11030	23543	hprd
114928	3363	hprd
27086	1487	hprd
10297	8313	kegg
6002	5605	hprd
8260	3091	hprd
3693	1290	kegg
10622	1503	kegg
8878	5590	hprd
7223	3710	hprd
4150	1630	hprd
28514	4851	hprd,kegg
